Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,2,3,128,0,Some Random Commen with Id 0
1,2,3,136,3,Some Random Commen with Id 1
2,2,3,190,9,Some Random Commen with Id 2
3,2,3,122,6,Some Random Commen with Id 3
4,2,3,21,0,Some Random Commen with Id 4
5,2,3,62,4,Some Random Commen with Id 5
6,2,3,52,9,Some Random Commen with Id 6
7,3,2,100,0,Some Random Commen with Id 7
8,3,2,141,8,Some Random Commen with Id 8
9,3,2,86,0,Some Random Commen with Id 9
10,3,2,104,3,Some Random Commen with Id 10
11,3,2,141,3,Some Random Commen with Id 11
12,3,2,95,2,Some Random Commen with Id 12
13,3,2,150,7,Some Random Commen with Id 13
14,4,9,148,1,Some Random Commen with Id 14
15,4,9,45,5,Some Random Commen with Id 15
16,4,9,24,2,Some Random Commen with Id 16
17,4,9,35,2,Some Random Commen with Id 17
18,4,9,165,2,Some Random Commen with Id 18
19,4,9,9,2,Some Random Commen with Id 19
20,4,9,177,3,Some Random Commen with Id 20
21,6,4,179,6,Some Random Commen with Id 21
22,6,4,179,3,Some Random Commen with Id 22
23,6,4,39,0,Some Random Commen with Id 23
24,6,4,22,1,Some Random Commen with Id 24
25,6,4,129,4,Some Random Commen with Id 25
26,6,4,55,5,Some Random Commen with Id 26
27,6,4,169,8,Some Random Commen with Id 27
28,7,5,100,3,Some Random Commen with Id 28
29,7,5,56,0,Some Random Commen with Id 29
30,7,5,0,0,Some Random Commen with Id 30
31,7,5,111,3,Some Random Commen with Id 31
32,7,5,73,4,Some Random Commen with Id 32
33,7,5,38,8,Some Random Commen with Id 33
34,7,5,54,7,Some Random Commen with Id 34
35,7,5,88,0,Some Random Commen with Id 35
36,8,3,64,5,Some Random Commen with Id 36
37,8,3,123,7,Some Random Commen with Id 37
38,8,3,163,3,Some Random Commen with Id 38
39,8,3,152,8,Some Random Commen with Id 39
40,8,3,104,3,Some Random Commen with Id 40
41,10,0,19,3,Some Random Commen with Id 41
42,10,0,91,7,Some Random Commen with Id 42
43,10,0,164,4,Some Random Commen with Id 43
44,10,0,145,8,Some Random Commen with Id 44
45,10,0,1,5,Some Random Commen with Id 45
46,10,0,94,1,Some Random Commen with Id 46
47,11,4,7,7,Some Random Commen with Id 47
48,11,4,65,8,Some Random Commen with Id 48
49,11,4,153,0,Some Random Commen with Id 49
50,11,4,160,0,Some Random Commen with Id 50
51,11,4,1,3,Some Random Commen with Id 51
52,11,4,177,1,Some Random Commen with Id 52
53,12,7,110,5,Some Random Commen with Id 53
54,12,7,97,7,Some Random Commen with Id 54
55,14,8,116,4,Some Random Commen with Id 55
56,14,8,69,0,Some Random Commen with Id 56
57,14,8,77,9,Some Random Commen with Id 57
58,14,8,125,8,Some Random Commen with Id 58
59,15,2,139,1,Some Random Commen with Id 59
60,15,2,113,9,Some Random Commen with Id 60
61,15,2,115,3,Some Random Commen with Id 61
62,16,6,124,9,Some Random Commen with Id 62
63,17,5,80,7,Some Random Commen with Id 63
64,17,5,148,4,Some Random Commen with Id 64
65,18,0,181,1,Some Random Commen with Id 65
66,19,3,115,6,Some Random Commen with Id 66
67,19,3,40,4,Some Random Commen with Id 67
68,19,3,57,3,Some Random Commen with Id 68
69,20,3,93,7,Some Random Commen with Id 69
70,20,3,166,1,Some Random Commen with Id 70
71,20,3,187,9,Some Random Commen with Id 71
72,20,3,65,1,Some Random Commen with Id 72
73,21,4,32,1,Some Random Commen with Id 73
74,21,4,18,3,Some Random Commen with Id 74
75,21,4,165,4,Some Random Commen with Id 75
76,21,4,29,9,Some Random Commen with Id 76
77,21,4,56,2,Some Random Commen with Id 77
78,21,4,8,8,Some Random Commen with Id 78
79,21,4,121,9,Some Random Commen with Id 79
80,21,4,86,1,Some Random Commen with Id 80
81,21,4,77,6,Some Random Commen with Id 81
82,22,5,185,8,Some Random Commen with Id 82
83,22,5,169,0,Some Random Commen with Id 83
84,22,5,109,9,Some Random Commen with Id 84
85,22,5,193,5,Some Random Commen with Id 85
86,22,5,135,4,Some Random Commen with Id 86
87,22,5,130,4,Some Random Commen with Id 87
88,23,4,34,4,Some Random Commen with Id 88
89,23,4,12,2,Some Random Commen with Id 89
90,23,4,100,4,Some Random Commen with Id 90
91,23,4,75,1,Some Random Commen with Id 91
92,23,4,139,0,Some Random Commen with Id 92
93,23,4,108,3,Some Random Commen with Id 93
94,24,1,65,4,Some Random Commen with Id 94
95,24,1,145,9,Some Random Commen with Id 95
96,24,1,166,2,Some Random Commen with Id 96
97,24,1,197,4,Some Random Commen with Id 97
98,24,1,3,5,Some Random Commen with Id 98
99,26,9,118,0,Some Random Commen with Id 99
100,26,9,113,9,Some Random Commen with Id 100
101,26,9,67,6,Some Random Commen with Id 101
102,26,9,144,8,Some Random Commen with Id 102
103,26,9,190,3,Some Random Commen with Id 103
104,26,9,95,9,Some Random Commen with Id 104
105,26,9,192,4,Some Random Commen with Id 105
106,26,9,102,5,Some Random Commen with Id 106
107,26,9,175,6,Some Random Commen with Id 107
108,27,5,101,5,Some Random Commen with Id 108
